owner,repo,workflow,action
petrmo,ActionsTests,.github/workflows/UseLocalActions.yml,./.github/actions/CompositeAction
petrmo,DependabotExcercise,.github/workflows/grading.yml,./.github/actions/local-action
petrmo,DevOpsStarter-WebApp,.github/workflows/devops-starter-workflow.yml,actions/checkout@master
petrmo,DevOpsStarter-WebApp,.github/workflows/devops-starter-workflow.yml,actions/checkout@master
petrmo,DependabotExcercise,.github/workflows/link-checker.yml,actions/checkout@master
petrmo,DevOpsStarter-WebApp,.github/workflows/codeql-analysis.yml,actions/checkout@v2
petrmo,DependabotExcercise,.github/workflows/grading.yml,actions/checkout@v2
petrmo,ActionsTests,.github/workflows/UseLocalActions.yml,actions/checkout@v2
petrmo,ActionsTests,.github/workflows/CreateRelease.yml,actions/checkout@v2
petrmo,ActionsTests,.github/workflows/CheckoutPrivateRepo.yml,actions/checkout@v2
petrmo,ActionsTests,.github/workflows/CheckoutPrivateRepo.yml,actions/checkout@v2
petrmo,DependabotExcercise,.github/workflows/CI.yml,actions/checkout@v2
petrmo,ActionsTests,.github/workflows/RepoDispatchTrigger.yml,actions/checkout@v2
petrmo,DevOpsStarter-WebApp,.github/workflows/devops-starter-workflow.yml,actions/download-artifact@v2
petrmo,DevOpsStarter-WebApp,.github/workflows/devops-starter-workflow.yml,actions/download-artifact@v2
petrmo,ActionsTests,.github/workflows/CreateRelease.yml,actions/download-artifact@v2.0.10
petrmo,DevOpsStarter-WebApp,.github/workflows/devops-starter-workflow.yml,actions/setup-dotnet@v1
petrmo,DevOpsStarter-WebApp,.github/workflows/devops-starter-workflow.yml,actions/setup-dotnet@v1
petrmo,DevOpsStarter-WebApp,.github/workflows/devops-starter-workflow.yml,actions/upload-artifact@v2
petrmo,DevOpsStarter-WebApp,.github/workflows/devops-starter-workflow.yml,actions/upload-artifact@v2
petrmo,ActionsTests,.github/workflows/CreateRelease.yml,actions/upload-artifact@v2.2.4
petrmo,DevOpsStarter-WebApp,.github/workflows/devops-starter-workflow.yml,azure/CLI@v1
petrmo,DevOpsStarter-WebApp,.github/workflows/devops-starter-workflow.yml,azure/login@v1
petrmo,DevOpsStarter-WebApp,.github/workflows/devops-starter-workflow.yml,azure/webapps-deploy@v2
petrmo,DependabotExcercise,.github/workflows/link-checker.yml,gaurav-nelson/github-action-markdown-link-check@v1
petrmo,DevOpsStarter-WebApp,.github/workflows/codeql-analysis.yml,github/codeql-action/analyze@v1
petrmo,DevOpsStarter-WebApp,.github/workflows/codeql-analysis.yml,github/codeql-action/autobuild@v1
petrmo,DevOpsStarter-WebApp,.github/workflows/codeql-analysis.yml,github/codeql-action/init@v1
petrmo,DependabotExcercise,.github/workflows/grading.yml,githubtraining/looking-glass-action@v1.0.0
petrmo,ActionsTests,.github/workflows/CheckoutPrivateRepo.yml,machine-learning-apps/actions-app-token@0.21
petrmo,ActionsTests,.github/workflows/UseLocalActions.yml,petrmo/PetrmoAction1@v1
petrmo,ActionsTests,.github/workflows/UseLocalActions.yml,petrmo/PetrmoAction1@v2
petrmo,ActionsTests,.github/workflows/CreateRelease.yml,softprops/action-gh-release@v0.1.12
